ID,LinF9
CHEMBL1928301_gnina_9,-9.78606
CHEMBL1928301_gnina_10,-9.82775
CHEMBL1928944_gnina_1,-8.04675
CHEMBL1928944_gnina_2,-8.21691
CHEMBL1928944_gnina_3,-8.09196
CHEMBL1928944_gnina_4,-7.82224
CHEMBL1928944_gnina_5,-7.72411
CHEMBL1928944_gnina_6,-7.76475
CHEMBL1928944_gnina_7,-8.52393
CHEMBL1928944_gnina_8,-7.29875
CHEMBL1928944_gnina_9,-8.33706
CHEMBL1928944_gnina_10,-7.85942
CHEMBL1945649_gnina_1,-6.90466
CHEMBL1945649_gnina_2,-6.84615
CHEMBL1945649_gnina_3,-6.88011
CHEMBL1945649_gnina_4,-6.54538
CHEMBL1945649_gnina_5,-6.78273
CHEMBL1945649_gnina_6,-6.70267
CHEMBL1945649_gnina_7,-6.21035
CHEMBL1945649_gnina_8,-5.95402
CHEMBL1945649_gnina_9,-6.78211
CHEMBL1945649_gnina_10,-6.60360
CHEMBL1947127_gnina_1,-9.20613
CHEMBL1947127_gnina_2,-8.71534
CHEMBL1947127_gnina_3,-9.05905
CHEMBL1947127_gnina_4,-7.91467
CHEMBL1947127_gnina_5,-7.77732
CHEMBL1947127_gnina_6,-7.81524
CHEMBL1947127_gnina_7,-8.39050
CHEMBL1947127_gnina_8,-8.59842
CHEMBL1947127_gnina_9,-7.86719
CHEMBL1947127_gnina_10,-7.76288
CHEMBL2031296_gnina_1,-7.63883
CHEMBL2031296_gnina_2,-7.46495
CHEMBL2031296_gnina_3,-7.27930
CHEMBL2031296_gnina_4,-7.54527
CHEMBL2031296_gnina_5,-7.33969
CHEMBL2031296_gnina_6,-7.14570
CHEMBL2031296_gnina_7,-6.94654
CHEMBL2031296_gnina_8,-7.17625
CHEMBL2031296_gnina_9,-7.12941
CHEMBL2031296_gnina_10,-5.96483
CHEMBL203132_gnina_1,-7.42424
CHEMBL203132_gnina_2,-7.50241
CHEMBL203132_gnina_3,-7.80024
CHEMBL203132_gnina_4,-7.88605
CHEMBL203132_gnina_5,-5.97105
CHEMBL203132_gnina_6,-7.73264
CHEMBL203132_gnina_7,-6.90701
CHEMBL203132_gnina_8,-7.40394
CHEMBL203132_gnina_9,-5.99643
CHEMBL203132_gnina_10,-6.60439
CHEMBL2032376_gnina_1,-8.03454
CHEMBL2032376_gnina_2,-9.26842
CHEMBL2032376_gnina_3,-9.35463
CHEMBL2032376_gnina_4,-9.37676
CHEMBL2032376_gnina_5,-8.99098
CHEMBL2032376_gnina_6,-8.63334
CHEMBL2032376_gnina_7,-9.78354
CHEMBL2032376_gnina_8,-8.33817
CHEMBL2032376_gnina_9,-8.24968
CHEMBL2032376_gnina_10,-8.36073
CHEMBL203645_gnina_1,-8.13396
CHEMBL203645_gnina_2,-8.26210
CHEMBL203645_gnina_3,-8.16256
CHEMBL203645_gnina_4,-7.86168
CHEMBL203645_gnina_5,-7.78263
CHEMBL203645_gnina_6,-7.59338
CHEMBL203645_gnina_7,-6.69606
CHEMBL203645_gnina_8,-6.26069
CHEMBL203645_gnina_9,-7.52109
CHEMBL203645_gnina_10,-7.03293
CHEMBL2048793_gnina_1,-8.51005
CHEMBL2048793_gnina_2,-7.58223
CHEMBL2048793_gnina_3,-7.63017
CHEMBL2048793_gnina_4,-8.12488
CHEMBL2048793_gnina_5,-8.66871
CHEMBL2048793_gnina_6,-7.70216
CHEMBL2048793_gnina_7,-7.35003
CHEMBL2048793_gnina_8,-6.82578
CHEMBL2048793_gnina_9,-7.09720
CHEMBL2048793_gnina_10,-7.49107
CHEMBL205149_gnina_1,-8.38274
CHEMBL205149_gnina_2,-7.60488
CHEMBL205149_gnina_3,-8.17888
CHEMBL205149_gnina_4,-7.76420
CHEMBL205149_gnina_5,-8.20070
CHEMBL205149_gnina_6,-7.25223
CHEMBL205149_gnina_7,-7.97382
CHEMBL205149_gnina_8,-7.66012
CHEMBL205149_gnina_9,-6.61217
CHEMBL205149_gnina_10,-7.83323
CHEMBL2064379_gnina_1,-7.64393
CHEMBL2064379_gnina_2,-7.13823
CHEMBL2064379_gnina_3,-8.43058
CHEMBL2064379_gnina_4,-8.23008
CHEMBL2064379_gnina_5,-8.27591
CHEMBL2064379_gnina_6,-8.04121
CHEMBL2064379_gnina_7,-7.24437
CHEMBL2064379_gnina_8,-7.97993
CHEMBL2064379_gnina_9,-7.40927
CHEMBL2064379_gnina_10,-7.78049
CHEMBL206782_gnina_1,-8.47710
CHEMBL206782_gnina_2,-8.20667
CHEMBL206782_gnina_3,-8.75996
CHEMBL206782_gnina_4,-8.32079
CHEMBL206782_gnina_5,-7.89439
CHEMBL206782_gnina_6,-8.08178
CHEMBL206782_gnina_7,-8.86472
CHEMBL206782_gnina_8,-7.90026
CHEMBL206782_gnina_9,-8.63374
CHEMBL206782_gnina_10,-9.16754
CHEMBL2179128_gnina_1,-9.37207
CHEMBL2179128_gnina_2,-9.12981
CHEMBL2179128_gnina_3,-8.47229
CHEMBL2179128_gnina_4,-10.18282
CHEMBL2179128_gnina_5,-9.47649
CHEMBL2179128_gnina_6,-10.16421
CHEMBL2179128_gnina_7,-9.51304
CHEMBL2179128_gnina_8,-10.13449
CHEMBL2179128_gnina_9,-9.58091
CHEMBL2179128_gnina_10,-8.78825
CHEMBL2385993_gnina_1,-7.26742
CHEMBL2385993_gnina_2,-7.30376
CHEMBL2385993_gnina_3,-7.34745
CHEMBL2385993_gnina_4,-7.88638
CHEMBL2385993_gnina_5,-9.13180
CHEMBL2385993_gnina_6,-7.13647
CHEMBL2385993_gnina_7,-8.70812
CHEMBL2385993_gnina_8,-9.39020
CHEMBL2385993_gnina_9,-8.64777
CHEMBL2385993_gnina_10,-8.20226
CHEMBL2424794_gnina_1,-8.56741
CHEMBL2424794_gnina_2,-8.08837
CHEMBL2424794_gnina_3,-7.76222
CHEMBL2424794_gnina_4,-7.80480
CHEMBL2424794_gnina_5,-8.12935
CHEMBL2424794_gnina_6,-7.74001
CHEMBL2424794_gnina_7,-7.29900
CHEMBL2424794_gnina_8,-7.88148
CHEMBL2424794_gnina_9,-7.80157
CHEMBL2424794_gnina_10,-7.29738
CHEMBL2424807_gnina_1,-8.52937
CHEMBL2424807_gnina_2,-8.07991
CHEMBL2424807_gnina_3,-7.91965
CHEMBL2424807_gnina_4,-7.77374
CHEMBL2424807_gnina_5,-7.81032
CHEMBL2424807_gnina_6,-8.10589
CHEMBL2424807_gnina_7,-7.47186
CHEMBL2424807_gnina_8,-7.92620
CHEMBL2424807_gnina_9,-8.23569
CHEMBL2424807_gnina_10,-7.44887
CHEMBL2425736_gnina_1,-7.47790
CHEMBL2425736_gnina_2,-7.37620
CHEMBL2425736_gnina_3,-7.78860
CHEMBL2425736_gnina_4,-6.66925
CHEMBL2425736_gnina_5,-7.45547
CHEMBL2425736_gnina_6,-7.35617
CHEMBL2425736_gnina_7,-6.02616
CHEMBL2425736_gnina_8,-6.91132
CHEMBL2425736_gnina_9,-6.44200
CHEMBL2425736_gnina_10,-7.43641
CHEMBL2437460_gnina_1,-8.94319
CHEMBL2437460_gnina_2,-7.86659
CHEMBL2437460_gnina_3,-7.79958
CHEMBL2437460_gnina_4,-8.02293
CHEMBL2437460_gnina_5,-8.60080
CHEMBL2437460_gnina_6,-9.14979
CHEMBL2437460_gnina_7,-8.20491
CHEMBL2437460_gnina_8,-7.94184
CHEMBL2437460_gnina_9,-8.44789
CHEMBL2437460_gnina_10,-8.66605
CHEMBL2437473_gnina_1,-8.81324
CHEMBL2437473_gnina_2,-8.07718
CHEMBL2437473_gnina_3,-8.04555
CHEMBL2437473_gnina_4,-7.41700
CHEMBL2437473_gnina_5,-7.42981
CHEMBL2437473_gnina_6,-7.59006
CHEMBL2437473_gnina_7,-8.60699
CHEMBL2437473_gnina_8,-7.45694
CHEMBL2437473_gnina_9,-6.97141
CHEMBL2437473_gnina_10,-8.57338
CHEMBL2441273_gnina_1,-9.54946
CHEMBL2441273_gnina_2,-8.84535
CHEMBL2441273_gnina_3,-8.42368
CHEMBL2441273_gnina_4,-9.44370
CHEMBL2441273_gnina_5,-8.84418
CHEMBL2441273_gnina_6,-8.91916
CHEMBL2441273_gnina_7,-9.05312
CHEMBL2441273_gnina_8,-8.19183
CHEMBL2441273_gnina_9,-8.58903
CHEMBL2441273_gnina_10,-8.06281
CHEMBL2448067_gnina_1,-7.61834
CHEMBL2448067_gnina_2,-7.76395
CHEMBL2448067_gnina_3,-7.02878
CHEMBL2448067_gnina_4,-7.17396
CHEMBL2448067_gnina_5,-6.98540
CHEMBL2448067_gnina_6,-6.84102
CHEMBL2448067_gnina_7,-7.60075
CHEMBL2448067_gnina_8,-7.52231
CHEMBL2448067_gnina_9,-6.98061
CHEMBL2448067_gnina_10,-7.41143
CHEMBL245868_gnina_1,-8.83414
CHEMBL245868_gnina_2,-8.21481
CHEMBL245868_gnina_3,-8.40592
CHEMBL245868_gnina_4,-8.02783
CHEMBL245868_gnina_5,-7.57076
CHEMBL245868_gnina_6,-7.53599
CHEMBL245868_gnina_7,-8.18664
CHEMBL245868_gnina_8,-8.72408
CHEMBL245868_gnina_9,-7.61507
CHEMBL245868_gnina_10,-8.39374
CHEMBL246284_gnina_1,-8.77850
CHEMBL246284_gnina_2,-9.40282
CHEMBL246284_gnina_3,-9.04202
CHEMBL246284_gnina_4,-8.78742
CHEMBL246284_gnina_5,-8.02678
CHEMBL246284_gnina_6,-10.45908
CHEMBL246284_gnina_7,-8.83907
CHEMBL246284_gnina_8,-9.21665
CHEMBL246284_gnina_9,-8.93164
CHEMBL246284_gnina_10,-9.01670
CHEMBL249511_gnina_1,-8.05418
CHEMBL249511_gnina_2,-8.02787
CHEMBL249511_gnina_3,-7.89619
CHEMBL249511_gnina_4,-7.80682
CHEMBL249511_gnina_5,-8.31255
CHEMBL249511_gnina_6,-8.03827
CHEMBL249511_gnina_7,-7.82542
CHEMBL249511_gnina_8,-7.90746
CHEMBL249511_gnina_9,-8.40278
CHEMBL249511_gnina_10,-7.12839
CHEMBL255871_gnina_1,-7.88935
CHEMBL255871_gnina_2,-7.67511
CHEMBL255871_gnina_3,-7.33006
CHEMBL255871_gnina_4,-8.64918
CHEMBL255871_gnina_5,-7.91831
CHEMBL255871_gnina_6,-9.01481
CHEMBL255871_gnina_7,-7.04853
CHEMBL255871_gnina_8,-7.38257
CHEMBL255871_gnina_9,-7.69423
CHEMBL255871_gnina_10,-7.49537
CHEMBL291701_gnina_1,-6.83442
CHEMBL291701_gnina_2,-6.49863
CHEMBL291701_gnina_3,-6.64615
CHEMBL291701_gnina_4,-6.47720
CHEMBL291701_gnina_5,-6.65418
CHEMBL291701_gnina_6,-6.07546
CHEMBL291701_gnina_7,-6.30894
CHEMBL291701_gnina_8,-6.34661
CHEMBL291701_gnina_9,-6.54533
CHEMBL291701_gnina_10,-6.31895
CHEMBL29197_gnina_1,-6.86006
CHEMBL29197_gnina_2,-6.91043
CHEMBL29197_gnina_3,-6.55699
CHEMBL29197_gnina_4,-5.93994
CHEMBL29197_gnina_5,-6.99018
CHEMBL29197_gnina_6,-7.22221
CHEMBL29197_gnina_7,-6.86813
CHEMBL29197_gnina_8,-6.50303
CHEMBL29197_gnina_9,-5.67981
CHEMBL29197_gnina_10,-6.19362
CHEMBL293482_gnina_1,-3.88562
CHEMBL293482_gnina_2,-3.81241
CHEMBL293482_gnina_3,-3.47186
CHEMBL293482_gnina_4,-3.81630
CHEMBL293482_gnina_5,-3.56239
CHEMBL293482_gnina_6,-3.47231
CHEMBL293482_gnina_7,-3.52589
CHEMBL293482_gnina_8,-3.47209
CHEMBL293482_gnina_9,-3.66818
CHEMBL293482_gnina_10,-3.98752
CHEMBL307599_gnina_1,-7.20769
CHEMBL307599_gnina_2,-7.06897
CHEMBL307599_gnina_3,-5.81704
CHEMBL307599_gnina_4,-6.34184
CHEMBL307599_gnina_5,-6.38493
CHEMBL307599_gnina_6,-6.60171
CHEMBL307599_gnina_7,-6.33494
CHEMBL307599_gnina_8,-6.87914
CHEMBL307599_gnina_9,-6.54926
CHEMBL307599_gnina_10,-5.98309
CHEMBL308672_gnina_1,-8.09547
CHEMBL308672_gnina_2,-7.53421
CHEMBL308672_gnina_3,-7.37151
CHEMBL308672_gnina_4,-6.77347
CHEMBL308672_gnina_5,-7.57313
CHEMBL308672_gnina_6,-7.56019
CHEMBL308672_gnina_7,-7.75168
CHEMBL308672_gnina_8,-7.68176
CHEMBL308672_gnina_9,-7.80359
CHEMBL308672_gnina_10,-7.66166
CHEMBL3087206_gnina_1,-9.84387
CHEMBL3087206_gnina_2,-10.28265
CHEMBL3087206_gnina_3,-10.86481
CHEMBL3087206_gnina_4,-10.51904
CHEMBL3087206_gnina_5,-9.72537
CHEMBL3087206_gnina_6,-11.07112
CHEMBL3087206_gnina_7,-10.04449
CHEMBL3087206_gnina_8,-9.89517
CHEMBL3087206_gnina_9,-9.48093
CHEMBL3087206_gnina_10,-10.30197
CHEMBL3132872_gnina_1,-7.86763
CHEMBL3132872_gnina_2,-7.94922
CHEMBL3132872_gnina_3,-7.88672
CHEMBL3132872_gnina_4,-7.03045
CHEMBL3132872_gnina_5,-7.35504
CHEMBL3132872_gnina_6,-7.80982
CHEMBL3132872_gnina_7,-7.09908
CHEMBL3132872_gnina_8,-6.77176
CHEMBL3132872_gnina_9,-7.30387
CHEMBL3132872_gnina_10,-7.75739
CHEMBL3133894_gnina_1,-6.90367
CHEMBL3133894_gnina_2,-7.21453
CHEMBL3133894_gnina_3,-6.87807
CHEMBL3133894_gnina_4,-6.37046
CHEMBL3133894_gnina_5,-7.32752
CHEMBL3133894_gnina_6,-5.58133
CHEMBL3133894_gnina_7,-6.88086
