SCORCH,ID
0.00688,CHEMBL57347_gnina_6
0.008,CHEMBL57347_gnina_7
0.03968,CHEMBL57347_gnina_8
0.01322,CHEMBL57347_gnina_9
0.03432,CHEMBL57347_gnina_10
0.01018,CHEMBL589561_gnina_1
0.00377,CHEMBL589561_gnina_2
0.00957,CHEMBL589561_gnina_3
0.00284,CHEMBL589561_gnina_4
0.00654,CHEMBL589561_gnina_5
0.00736,CHEMBL589561_gnina_6
0.01144,CHEMBL589561_gnina_7
0.01101,CHEMBL589561_gnina_8
0.00965,CHEMBL589561_gnina_9
0.00419,CHEMBL589561_gnina_10
0.01789,CHEMBL591910_gnina_1
0.00442,CHEMBL591910_gnina_2
0.01422,CHEMBL591910_gnina_3
0.0059,CHEMBL591910_gnina_4
0.00983,CHEMBL591910_gnina_5
0.00891,CHEMBL591910_gnina_6
0.00401,CHEMBL591910_gnina_7
0.00421,CHEMBL591910_gnina_8
0.04267,CHEMBL591910_gnina_9
0.00282,CHEMBL591910_gnina_10
0.07154,CHEMBL593760_gnina_1
0.0281,CHEMBL593760_gnina_2
0.10651,CHEMBL593760_gnina_3
0.15103,CHEMBL593760_gnina_4
0.06492,CHEMBL593760_gnina_5
0.12411,CHEMBL593760_gnina_6
0.14101,CHEMBL593760_gnina_7
0.04663,CHEMBL593760_gnina_8
0.0231,CHEMBL593760_gnina_9
0.14206,CHEMBL593760_gnina_10
0.03748,CHEMBL594810_gnina_1
0.01519,CHEMBL594810_gnina_2
0.00901,CHEMBL594810_gnina_3
0.01183,CHEMBL594810_gnina_4
0.00651,CHEMBL594810_gnina_5
0.00806,CHEMBL594810_gnina_6
0.00214,CHEMBL594810_gnina_7
0.00417,CHEMBL594810_gnina_8
0.00061,CHEMBL594810_gnina_9
0.00217,CHEMBL594810_gnina_10
0.00258,CHEMBL59812_gnina_1
0.00268,CHEMBL59812_gnina_2
0.00066,CHEMBL59812_gnina_3
0.00208,CHEMBL59812_gnina_4
0.00055,CHEMBL59812_gnina_5
0.00251,CHEMBL59812_gnina_6
0.00064,CHEMBL59812_gnina_7
0.00052,CHEMBL59812_gnina_8
0.00137,CHEMBL59812_gnina_9
0.00222,CHEMBL59812_gnina_10
0.04022,CHEMBL65063_gnina_1
0.01554,CHEMBL65063_gnina_2
0.0278,CHEMBL65063_gnina_3
0.03509,CHEMBL65063_gnina_4
0.03777,CHEMBL65063_gnina_5
0.01562,CHEMBL65063_gnina_6
0.01849,CHEMBL65063_gnina_7
0.02091,CHEMBL65063_gnina_8
0.022,CHEMBL65063_gnina_9
0.02325,CHEMBL65063_gnina_10
0.02801,CHEMBL69071_gnina_1
0.01909,CHEMBL69071_gnina_2
0.01425,CHEMBL69071_gnina_3
0.00564,CHEMBL69071_gnina_4
0.01249,CHEMBL69071_gnina_5
0.01,CHEMBL69071_gnina_6
0.02009,CHEMBL69071_gnina_7
0.02197,CHEMBL69071_gnina_8
0.01089,CHEMBL69071_gnina_9
0.00439,CHEMBL69071_gnina_10
0.04744,CHEMBL72393_gnina_1
0.05118,CHEMBL72393_gnina_2
0.04209,CHEMBL72393_gnina_3
0.02167,CHEMBL72393_gnina_4
0.01545,CHEMBL72393_gnina_5
0.03375,CHEMBL72393_gnina_6
0.0078,CHEMBL72393_gnina_7
0.01474,CHEMBL72393_gnina_8
0.00769,CHEMBL72393_gnina_9
0.00552,CHEMBL72393_gnina_10
0.01488,CHEMBL726_gnina_1
0.01004,CHEMBL726_gnina_2
0.05134,CHEMBL726_gnina_3
0.00295,CHEMBL726_gnina_4
0.0261,CHEMBL726_gnina_5
0.00424,CHEMBL726_gnina_6
0.03791,CHEMBL726_gnina_7
0.05252,CHEMBL726_gnina_8
0.00548,CHEMBL726_gnina_9
0.01129,CHEMBL726_gnina_10
0.03365,CHEMBL77452_gnina_1
0.03112,CHEMBL77452_gnina_2
0.04735,CHEMBL77452_gnina_3
0.0361,CHEMBL77452_gnina_4
0.01695,CHEMBL77452_gnina_5
0.0171,CHEMBL77452_gnina_6
0.07949,CHEMBL77452_gnina_7
0.05341,CHEMBL77452_gnina_8
0.06436,CHEMBL77452_gnina_9
0.03992,CHEMBL77452_gnina_10
0.03771,CHEMBL7819_gnina_1
0.06387,CHEMBL7819_gnina_2
0.04268,CHEMBL7819_gnina_3
0.04634,CHEMBL7819_gnina_4
0.05767,CHEMBL7819_gnina_5
0.01925,CHEMBL7819_gnina_6
0.07521,CHEMBL7819_gnina_7
0.01426,CHEMBL7819_gnina_8
0.0192,CHEMBL7819_gnina_9
0.05093,CHEMBL7819_gnina_10
0.02314,CHEMBL7866_gnina_1
0.05311,CHEMBL7866_gnina_2
0.03317,CHEMBL7866_gnina_3
0.02418,CHEMBL7866_gnina_4
0.06498,CHEMBL7866_gnina_5
0.01991,CHEMBL7866_gnina_6
0.0088,CHEMBL7866_gnina_7
0.0053,CHEMBL7866_gnina_8
0.00947,CHEMBL7866_gnina_9
0.03238,CHEMBL7866_gnina_10
0.0258,CHEMBL80540_gnina_1
0.14582,CHEMBL80540_gnina_2
0.21895,CHEMBL80540_gnina_3
0.06487,CHEMBL80540_gnina_4
0.03522,CHEMBL80540_gnina_5
0.03885,CHEMBL80540_gnina_6
0.02489,CHEMBL80540_gnina_7
0.1828,CHEMBL80540_gnina_8
0.02815,CHEMBL80540_gnina_9
0.05007,CHEMBL80540_gnina_10
0.04254,CHEMBL92174_gnina_1
0.01361,CHEMBL92174_gnina_2
0.06756,CHEMBL92174_gnina_3
0.03678,CHEMBL92174_gnina_4
0.03503,CHEMBL92174_gnina_5
0.17076,CHEMBL92174_gnina_6
0.06266,CHEMBL92174_gnina_7
0.05631,CHEMBL92174_gnina_8
0.01848,CHEMBL92174_gnina_9
0.05974,CHEMBL92174_gnina_10
0.01837,CHEMBL94066_gnina_1
0.00336,CHEMBL94066_gnina_2
0.00166,CHEMBL94066_gnina_3
0.01283,CHEMBL94066_gnina_4
0.00273,CHEMBL94066_gnina_5
0.0027,CHEMBL94066_gnina_6
0.0153,CHEMBL94066_gnina_7
0.01263,CHEMBL94066_gnina_8
0.01035,CHEMBL94066_gnina_9
0.00946,CHEMBL94066_gnina_10
0.0203,CHEMBL107472_smina_1
0.0234,CHEMBL107472_smina_2
0.00639,CHEMBL107472_smina_3
0.01152,CHEMBL107472_smina_4
0.01344,CHEMBL107472_smina_5
0.01369,CHEMBL107472_smina_6
0.01352,CHEMBL107472_smina_7
0.00667,CHEMBL107472_smina_8
0.00422,CHEMBL107472_smina_9
0.00439,CHEMBL107472_smina_10
0.06654,CHEMBL1090364_smina_1
0.03908,CHEMBL1090364_smina_2
0.00407,CHEMBL1090364_smina_3
0.06554,CHEMBL1090364_smina_4
0.06787,CHEMBL1090364_smina_5
0.05066,CHEMBL1090364_smina_6
0.04517,CHEMBL1090364_smina_7
0.0292,CHEMBL1090364_smina_8
0.06556,CHEMBL1090364_smina_9
0.06018,CHEMBL1090364_smina_10
0.06875,CHEMBL1095464_smina_1
0.06795,CHEMBL1095464_smina_2
0.11164,CHEMBL1095464_smina_3
0.05381,CHEMBL1095464_smina_4
0.04491,CHEMBL1095464_smina_5
0.06002,CHEMBL1095464_smina_6
0.03555,CHEMBL1095464_smina_7
0.10599,CHEMBL1095464_smina_8
0.01406,CHEMBL1095464_smina_9
0.05407,CHEMBL1095464_smina_10
0.06124,CHEMBL1097189_smina_1
0.03779,CHEMBL1097189_smina_2
0.02504,CHEMBL1097189_smina_3
0.01009,CHEMBL1097189_smina_4
0.06559,CHEMBL1097189_smina_5
0.02375,CHEMBL1097189_smina_6
0.01734,CHEMBL1097189_smina_7
0.02805,CHEMBL1097189_smina_8
0.05708,CHEMBL1097189_smina_9
0.01993,CHEMBL1097189_smina_10
0.00709,CHEMBL1172773_smina_1
0.00702,CHEMBL1172773_smina_2
0.01318,CHEMBL1172773_smina_3
0.01271,CHEMBL1172773_smina_4
0.00795,CHEMBL1172773_smina_5
0.00637,CHEMBL1172773_smina_6
0.00769,CHEMBL1172773_smina_7
0.007,CHEMBL1172773_smina_8
0.00178,CHEMBL1172773_smina_9
0.0038,CHEMBL1172773_smina_10
0.00393,CHEMBL1173794_smina_1
0.00635,CHEMBL1173794_smina_2
0.00925,CHEMBL1173794_smina_3
0.01205,CHEMBL1173794_smina_4
0.00617,CHEMBL1173794_smina_5
0.00503,CHEMBL1173794_smina_6
0.00654,CHEMBL1173794_smina_7
0.01181,CHEMBL1173794_smina_8
0.01106,CHEMBL1173794_smina_9
0.00844,CHEMBL1173794_smina_10
0.03861,CHEMBL1204261_smina_1
0.02459,CHEMBL1204261_smina_2
0.00661,CHEMBL1204261_smina_3
0.00946,CHEMBL1204261_smina_4
0.01324,CHEMBL1204261_smina_5
0.01056,CHEMBL1204261_smina_6
0.00527,CHEMBL1204261_smina_7
0.01328,CHEMBL1204261_smina_8
0.02091,CHEMBL1204261_smina_9
0.00597,CHEMBL1204261_smina_10
0.03856,CHEMBL1240553_smina_1
0.04032,CHEMBL1240553_smina_2
0.02397,CHEMBL1240553_smina_3
0.00392,CHEMBL1240553_smina_4
0.01017,CHEMBL1240553_smina_5
0.03494,CHEMBL1240553_smina_6
0.00855,CHEMBL1240553_smina_7
0.02601,CHEMBL1240553_smina_8
0.04315,CHEMBL1240553_smina_9
0.009,CHEMBL1240553_smina_10
0.01022,CHEMBL1241860_smina_1
0.01649,CHEMBL1241860_smina_2
0.0415,CHEMBL1241860_smina_3
0.03762,CHEMBL1241860_smina_4
0.00637,CHEMBL1241860_smina_5
0.04751,CHEMBL1241860_smina_6
0.01263,CHEMBL1241860_smina_7
0.03558,CHEMBL1241860_smina_8
0.01565,CHEMBL1241860_smina_9
0.01334,CHEMBL1241860_smina_10
0.24361,CHEMBL1241948_smina_1
0.05399,CHEMBL1241948_smina_2
0.30346,CHEMBL1241948_smina_3
0.14536,CHEMBL1241948_smina_4
0.11007,CHEMBL1241948_smina_5
0.06359,CHEMBL1241948_smina_6
0.06776,CHEMBL1241948_smina_7
0.07877,CHEMBL1241948_smina_8
0.03491,CHEMBL1241948_smina_9
0.08728,CHEMBL1241948_smina_10
0.01603,CHEMBL1242200_smina_1
0.01783,CHEMBL1242200_smina_2
0.04755,CHEMBL1242200_smina_3
0.0858,CHEMBL1242200_smina_4
0.0302,CHEMBL1242200_smina_5
0.00893,CHEMBL1242200_smina_6
0.02257,CHEMBL1242200_smina_7
0.01174,CHEMBL1242200_smina_8
0.01604,CHEMBL1242200_smina_9
0.04081,CHEMBL1242200_smina_10
0.02243,CHEMBL1242208_smina_1
0.02685,CHEMBL1242208_smina_2
0.03881,CHEMBL1242208_smina_3
0.03628,CHEMBL1242208_smina_4
0.03501,CHEMBL1242208_smina_5
0.02262,CHEMBL1242208_smina_6
0.03877,CHEMBL1242208_smina_7
0.03421,CHEMBL1242208_smina_8
0.0346,CHEMBL1242208_smina_9
0.03162,CHEMBL1242208_smina_10
0.02272,CHEMBL1242294_smina_1
0.04531,CHEMBL1242294_smina_2
0.04105,CHEMBL1242294_smina_3
0.01821,CHEMBL1242294_smina_4
0.03858,CHEMBL1242294_smina_5
0.04759,CHEMBL1242294_smina_6
0.01854,CHEMBL1242294_smina_7
0.02852,CHEMBL1242294_smina_8
0.01869,CHEMBL1242294_smina_9
0.03234,CHEMBL1242294_smina_10
0.03585,CHEMBL1242568_smina_1
0.05442,CHEMBL1242568_smina_2
0.02306,CHEMBL1242568_smina_3
0.02838,CHEMBL1242568_smina_4
0.005,CHEMBL1242568_smina_5
0.02794,CHEMBL1242568_smina_6
0.02362,CHEMBL1242568_smina_7
0.00502,CHEMBL1242568_smina_8
0.00557,CHEMBL1242568_smina_9
0.00867,CHEMBL1242568_smina_10
0.00197,CHEMBL1242973_smina_1
0.00372,CHEMBL1242973_smina_2
0.00349,CHEMBL1242973_smina_3
0.00265,CHEMBL1242973_smina_4
0.00155,CHEMBL1242973_smina_5
0.00277,CHEMBL1242973_smina_6
0.00868,CHEMBL1242973_smina_7
0.00495,CHEMBL1242973_smina_8
0.00229,CHEMBL1242973_smina_9
0.00075,CHEMBL1242973_smina_10
0.00248,CHEMBL127223_smina_1
0.00417,CHEMBL127223_smina_2
0.00212,CHEMBL127223_smina_3
0.04149,CHEMBL127223_smina_4
0.00465,CHEMBL127223_smina_5
0.00313,CHEMBL127223_smina_6
0.00163,CHEMBL127223_smina_7
0.01758,CHEMBL127223_smina_8
0.00441,CHEMBL127223_smina_9
0.0119,CHEMBL127223_smina_10
0.01328,CHEMBL141238_smina_1
0.04236,CHEMBL141238_smina_2
0.01779,CHEMBL141238_smina_3
0.02761,CHEMBL141238_smina_4
0.00576,CHEMBL141238_smina_5
0.02634,CHEMBL141238_smina_6
0.01642,CHEMBL141238_smina_7
0.01238,CHEMBL141238_smina_8
0.01251,CHEMBL141238_smina_9
0.00894,CHEMBL141238_smina_10
0.01453,CHEMBL144842_smina_1
0.00514,CHEMBL144842_smina_2
0.00333,CHEMBL144842_smina_3
0.01101,CHEMBL144842_smina_4
0.01062,CHEMBL144842_smina_5
0.01085,CHEMBL144842_smina_6
0.01115,CHEMBL144842_smina_7
0.00891,CHEMBL144842_smina_8
0.00929,CHEMBL144842_smina_9
0.008,CHEMBL144842_smina_10
0.02331,CHEMBL14932_smina_1
0.05643,CHEMBL14932_smina_2
0.0274,CHEMBL14932_smina_3
0.02731,CHEMBL14932_smina_4
0.0252,CHEMBL14932_smina_5
0.02218,CHEMBL14932_smina_6
0.03249,CHEMBL14932_smina_7
0.05052,CHEMBL14932_smina_8
0.03588,CHEMBL14932_smina_9
0.04878,CHEMBL14932_smina_10
0.00026,CHEMBL154080_smina_1
0.00052,CHEMBL154080_smina_2
0.00041,CHEMBL154080_smina_3
0.00027,CHEMBL154080_smina_4
0.00134,CHEMBL154080_smina_5
0.00042,CHEMBL154080_smina_6
0.00015,CHEMBL154080_smina_7
0.00028,CHEMBL154080_smina_8
0.00112,CHEMBL154080_smina_9
0.00016,CHEMBL154080_smina_10
0.00053,CHEMBL154822_smina_1
0.00095,CHEMBL154822_smina_2
0.00019,CHEMBL154822_smina_3
0.00031,CHEMBL154822_smina_4
0.00028,CHEMBL154822_smina_5
