ID,Vinardo
CHEMBL57347_gnina_3,-7.58992
CHEMBL57347_gnina_4,-8.13041
CHEMBL57347_gnina_5,-5.35585
CHEMBL57347_gnina_6,-7.78697
CHEMBL57347_gnina_7,-7.11824
CHEMBL57347_gnina_8,-6.39646
CHEMBL57347_gnina_9,-7.78913
CHEMBL57347_gnina_10,-4.94410
CHEMBL589561_gnina_1,-7.86324
CHEMBL589561_gnina_2,-7.89687
CHEMBL589561_gnina_3,-7.61705
CHEMBL589561_gnina_4,-7.25977
CHEMBL589561_gnina_5,-8.82190
CHEMBL589561_gnina_6,-8.48248
CHEMBL589561_gnina_7,-7.11047
CHEMBL589561_gnina_8,-7.57992
CHEMBL589561_gnina_9,-8.51040
CHEMBL589561_gnina_10,-7.53316
CHEMBL591910_gnina_1,-4.12825
CHEMBL591910_gnina_2,-5.50315
CHEMBL591910_gnina_3,-5.20884
CHEMBL591910_gnina_4,-5.26933
CHEMBL591910_gnina_5,-6.11923
CHEMBL591910_gnina_6,-6.15060
CHEMBL591910_gnina_7,-5.35980
CHEMBL591910_gnina_8,-5.48263
CHEMBL591910_gnina_9,-4.66538
CHEMBL591910_gnina_10,-5.08734
CHEMBL593760_gnina_1,-8.78103
CHEMBL593760_gnina_2,-8.72127
CHEMBL593760_gnina_3,-8.94720
CHEMBL593760_gnina_4,-8.10254
CHEMBL593760_gnina_5,-8.51361
CHEMBL593760_gnina_6,-8.68299
CHEMBL593760_gnina_7,-9.30336
CHEMBL593760_gnina_8,-8.14528
CHEMBL593760_gnina_9,-7.90053
CHEMBL593760_gnina_10,-8.82464
CHEMBL594810_gnina_1,-6.98654
CHEMBL594810_gnina_2,-6.50341
CHEMBL594810_gnina_3,-5.96677
CHEMBL594810_gnina_4,-5.79053
CHEMBL594810_gnina_5,-4.94098
CHEMBL594810_gnina_6,-4.69130
CHEMBL594810_gnina_7,-6.08367
CHEMBL594810_gnina_8,-5.39384
CHEMBL594810_gnina_9,-4.61260
CHEMBL594810_gnina_10,-5.93273
CHEMBL59812_gnina_1,-9.55987
CHEMBL59812_gnina_2,-9.59061
CHEMBL59812_gnina_3,-8.82332
CHEMBL59812_gnina_4,-6.64689
CHEMBL59812_gnina_5,-7.71237
CHEMBL59812_gnina_6,-7.61823
CHEMBL59812_gnina_7,-8.62034
CHEMBL59812_gnina_8,-8.22688
CHEMBL59812_gnina_9,-7.08066
CHEMBL59812_gnina_10,-7.41606
CHEMBL65063_gnina_1,-5.94659
CHEMBL65063_gnina_2,-5.96283
CHEMBL65063_gnina_3,-5.77785
CHEMBL65063_gnina_4,-6.15477
CHEMBL65063_gnina_5,-6.16357
CHEMBL65063_gnina_6,-5.09525
CHEMBL65063_gnina_7,-5.57932
CHEMBL65063_gnina_8,-5.95680
CHEMBL65063_gnina_9,-5.93357
CHEMBL65063_gnina_10,-5.50008
CHEMBL69071_gnina_1,-6.92050
CHEMBL69071_gnina_2,-7.96040
CHEMBL69071_gnina_3,-8.68746
CHEMBL69071_gnina_4,-9.04628
CHEMBL69071_gnina_5,-7.31258
CHEMBL69071_gnina_6,-7.63694
CHEMBL69071_gnina_7,-7.91342
CHEMBL69071_gnina_8,-8.11117
CHEMBL69071_gnina_9,-7.99754
CHEMBL69071_gnina_10,-7.09678
CHEMBL72393_gnina_1,-7.98069
CHEMBL72393_gnina_2,-7.62160
CHEMBL72393_gnina_3,-7.39163
CHEMBL72393_gnina_4,-7.18534
CHEMBL72393_gnina_5,-7.87090
CHEMBL72393_gnina_6,-7.43054
CHEMBL72393_gnina_7,-6.61846
CHEMBL72393_gnina_8,-6.74018
CHEMBL72393_gnina_9,-8.22120
CHEMBL72393_gnina_10,-7.22906
CHEMBL726_gnina_1,-5.97347
CHEMBL726_gnina_2,-6.12769
CHEMBL726_gnina_3,-6.16178
CHEMBL726_gnina_4,-6.42377
CHEMBL726_gnina_5,-6.92463
CHEMBL726_gnina_6,-6.43044
CHEMBL726_gnina_7,-6.39202
CHEMBL726_gnina_8,-6.36468
CHEMBL726_gnina_9,-6.47806
CHEMBL726_gnina_10,-5.58654
CHEMBL77452_gnina_1,-8.16363
CHEMBL77452_gnina_2,-8.55623
CHEMBL77452_gnina_3,-6.90835
CHEMBL77452_gnina_4,-7.95248
CHEMBL77452_gnina_5,-6.59763
CHEMBL77452_gnina_6,-7.29536
CHEMBL77452_gnina_7,-7.12632
CHEMBL77452_gnina_8,-7.93230
CHEMBL77452_gnina_9,-6.71104
CHEMBL77452_gnina_10,-7.15439
CHEMBL7819_gnina_1,-7.53876
CHEMBL7819_gnina_2,-6.95904
CHEMBL7819_gnina_3,-6.88305
CHEMBL7819_gnina_4,-6.38821
CHEMBL7819_gnina_5,-6.15911
CHEMBL7819_gnina_6,-6.11721
CHEMBL7819_gnina_7,-7.14622
CHEMBL7819_gnina_8,-6.38275
CHEMBL7819_gnina_9,-5.89364
CHEMBL7819_gnina_10,-5.99706
