ID,ad4
CHEMBL2048793_gnina_7,-36.89589
CHEMBL2048793_gnina_8,-31.95769
CHEMBL2048793_gnina_9,-32.76470
CHEMBL2048793_gnina_10,-39.40437
CHEMBL205149_gnina_1,-37.72435
CHEMBL205149_gnina_2,-36.01469
CHEMBL205149_gnina_3,-38.60038
CHEMBL205149_gnina_4,-35.81139
CHEMBL205149_gnina_5,-37.23262
CHEMBL205149_gnina_6,-36.77084
CHEMBL205149_gnina_7,-38.64378
CHEMBL205149_gnina_8,-34.39990
CHEMBL205149_gnina_9,-29.56218
CHEMBL205149_gnina_10,-37.31633
CHEMBL2064379_gnina_1,-38.83178
CHEMBL2064379_gnina_2,-36.57184
CHEMBL2064379_gnina_3,-41.75114
CHEMBL2064379_gnina_4,-42.20158
CHEMBL2064379_gnina_5,-41.31312
CHEMBL2064379_gnina_6,-41.46082
CHEMBL2064379_gnina_7,-36.80230
CHEMBL2064379_gnina_8,-41.54470
CHEMBL2064379_gnina_9,-35.66071
CHEMBL2064379_gnina_10,-37.42467
CHEMBL206782_gnina_1,-46.61195
CHEMBL206782_gnina_2,-46.53983
CHEMBL206782_gnina_3,-50.68081
CHEMBL206782_gnina_4,-48.66855
CHEMBL206782_gnina_5,-47.30645
CHEMBL206782_gnina_6,-47.30629
CHEMBL206782_gnina_7,-47.92044
CHEMBL206782_gnina_8,-48.23418
CHEMBL206782_gnina_9,-48.56616
CHEMBL206782_gnina_10,-50.02753
CHEMBL2179128_gnina_1,-42.79060
CHEMBL2179128_gnina_2,-43.16986
CHEMBL2179128_gnina_3,-40.13156
CHEMBL2179128_gnina_4,-49.48154
CHEMBL2179128_gnina_5,-43.24987
CHEMBL2179128_gnina_6,-46.29238
CHEMBL2179128_gnina_7,-43.26228
CHEMBL2179128_gnina_8,-46.08577
CHEMBL2179128_gnina_9,-43.28637
CHEMBL2179128_gnina_10,-39.38363
CHEMBL2385993_gnina_1,-33.13522
CHEMBL2385993_gnina_2,-32.41645
CHEMBL2385993_gnina_3,-33.59491
CHEMBL2385993_gnina_4,-38.18246
CHEMBL2385993_gnina_5,-46.72616
CHEMBL2385993_gnina_6,-33.78191
CHEMBL2385993_gnina_7,-44.98611
CHEMBL2385993_gnina_8,-45.91818
CHEMBL2385993_gnina_9,-44.24285
CHEMBL2385993_gnina_10,-40.19250
CHEMBL2424794_gnina_1,-40.68587
CHEMBL2424794_gnina_2,-37.63689
CHEMBL2424794_gnina_3,-37.51074
CHEMBL2424794_gnina_4,-39.39098
CHEMBL2424794_gnina_5,-40.74361
CHEMBL2424794_gnina_6,-39.34337
CHEMBL2424794_gnina_7,-36.67157
CHEMBL2424794_gnina_8,-41.38757
CHEMBL2424794_gnina_9,-37.37886
CHEMBL2424794_gnina_10,-37.76748
CHEMBL2424807_gnina_1,-41.51728
CHEMBL2424807_gnina_2,-41.96071
CHEMBL2424807_gnina_3,-37.85537
CHEMBL2424807_gnina_4,-40.30938
CHEMBL2424807_gnina_5,-36.44256
CHEMBL2424807_gnina_6,-41.14708
CHEMBL2424807_gnina_7,-37.56062
CHEMBL2424807_gnina_8,-41.07578
CHEMBL2424807_gnina_9,-40.20434
CHEMBL2424807_gnina_10,-39.00915
CHEMBL2425736_gnina_1,-41.67317
CHEMBL2425736_gnina_2,-40.38390
CHEMBL2425736_gnina_3,-41.04085
CHEMBL2425736_gnina_4,-36.80620
CHEMBL2425736_gnina_5,-39.17552
CHEMBL2425736_gnina_6,-38.18214
CHEMBL2425736_gnina_7,-36.56248
CHEMBL2425736_gnina_8,-35.52472
CHEMBL2425736_gnina_9,-36.17518
CHEMBL2425736_gnina_10,-41.18081
CHEMBL2437460_gnina_1,-37.97583
CHEMBL2437460_gnina_2,-36.68880
CHEMBL2437460_gnina_3,-38.57833
CHEMBL2437460_gnina_4,-40.82209
CHEMBL2437460_gnina_5,-40.90631
CHEMBL2437460_gnina_6,-44.88738
CHEMBL2437460_gnina_7,-39.78002
CHEMBL2437460_gnina_8,-38.85665
CHEMBL2437460_gnina_9,-38.96682
CHEMBL2437460_gnina_10,-46.18368
CHEMBL2437473_gnina_1,-40.84342
CHEMBL2437473_gnina_2,-38.17117
CHEMBL2437473_gnina_3,-38.23469
CHEMBL2437473_gnina_4,-35.34609
CHEMBL2437473_gnina_5,-35.08664
CHEMBL2437473_gnina_6,-38.82625
CHEMBL2437473_gnina_7,-40.02089
CHEMBL2437473_gnina_8,-34.04128
CHEMBL2437473_gnina_9,-32.86098
CHEMBL2437473_gnina_10,-39.98621
CHEMBL2441273_gnina_1,-50.44252
CHEMBL2441273_gnina_2,-46.09585
CHEMBL2441273_gnina_3,-45.39131
CHEMBL2441273_gnina_4,-51.31369
CHEMBL2441273_gnina_5,-46.94526
CHEMBL2441273_gnina_6,-46.85096
CHEMBL2441273_gnina_7,-48.64424
CHEMBL2441273_gnina_8,-44.26062
CHEMBL2441273_gnina_9,-44.97073
CHEMBL2441273_gnina_10,-42.36694
CHEMBL2448067_gnina_1,-42.16822
CHEMBL2448067_gnina_2,-42.20074
CHEMBL2448067_gnina_3,-34.06543
CHEMBL2448067_gnina_4,-38.08573
CHEMBL2448067_gnina_5,-35.70459
CHEMBL2448067_gnina_6,-35.71502
CHEMBL2448067_gnina_7,-40.04647
CHEMBL2448067_gnina_8,-41.84195
CHEMBL2448067_gnina_9,-34.95050
CHEMBL2448067_gnina_10,-37.11007
CHEMBL245868_gnina_1,-46.34496
CHEMBL245868_gnina_2,-45.66974
CHEMBL245868_gnina_3,-44.83278
CHEMBL245868_gnina_4,-43.36166
CHEMBL245868_gnina_5,-45.12629
CHEMBL245868_gnina_6,-42.90806
CHEMBL245868_gnina_7,-43.36785
CHEMBL245868_gnina_8,-45.93070
CHEMBL245868_gnina_9,-42.60817
CHEMBL245868_gnina_10,-44.30044
CHEMBL246284_gnina_1,-47.56197
CHEMBL246284_gnina_2,-46.38409
CHEMBL246284_gnina_3,-45.61165
CHEMBL246284_gnina_4,-42.99255
CHEMBL246284_gnina_5,-45.74686
CHEMBL246284_gnina_6,-49.61469
CHEMBL246284_gnina_7,-47.64707
CHEMBL246284_gnina_8,-45.52559
CHEMBL246284_gnina_9,-46.25545
CHEMBL246284_gnina_10,-43.96648
CHEMBL249511_gnina_1,-36.99562
CHEMBL249511_gnina_2,-38.50471
CHEMBL249511_gnina_3,-36.71906
CHEMBL249511_gnina_4,-33.73849
CHEMBL249511_gnina_5,-37.55368
CHEMBL249511_gnina_6,-40.57209
CHEMBL249511_gnina_7,-36.80717
CHEMBL249511_gnina_8,-36.76139
CHEMBL249511_gnina_9,-38.91327
CHEMBL249511_gnina_10,-36.69271
CHEMBL255871_gnina_1,-38.35944
CHEMBL255871_gnina_2,-35.87841
CHEMBL255871_gnina_3,-36.14201
CHEMBL255871_gnina_4,-41.79203
CHEMBL255871_gnina_5,-37.51294
CHEMBL255871_gnina_6,-42.64289
CHEMBL255871_gnina_7,-34.56217
CHEMBL255871_gnina_8,-38.60551
CHEMBL255871_gnina_9,-37.79306
CHEMBL255871_gnina_10,-36.60880
CHEMBL291701_gnina_1,-30.64043
CHEMBL291701_gnina_2,-29.16045
CHEMBL291701_gnina_3,-30.14278
CHEMBL291701_gnina_4,-29.85331
CHEMBL291701_gnina_5,-29.80687
CHEMBL291701_gnina_6,-29.69985
CHEMBL291701_gnina_7,-29.83460
CHEMBL291701_gnina_8,-29.91966
CHEMBL291701_gnina_9,-28.94569
CHEMBL291701_gnina_10,-29.04227
CHEMBL29197_gnina_1,-33.11227
CHEMBL29197_gnina_2,-33.72105
CHEMBL29197_gnina_3,-32.27269
CHEMBL29197_gnina_4,-29.82879
CHEMBL29197_gnina_5,-33.01302
CHEMBL29197_gnina_6,-32.58054
CHEMBL29197_gnina_7,-33.27623
CHEMBL29197_gnina_8,-29.03463
CHEMBL29197_gnina_9,-27.69323
CHEMBL29197_gnina_10,-31.27487
CHEMBL293482_gnina_1,-18.13066
CHEMBL293482_gnina_2,-18.25832
CHEMBL293482_gnina_3,-19.57075
CHEMBL293482_gnina_4,-18.66643
CHEMBL293482_gnina_5,-17.33362
CHEMBL293482_gnina_6,-18.13941
CHEMBL293482_gnina_7,-17.42643
CHEMBL293482_gnina_8,-18.16813
CHEMBL293482_gnina_9,-16.62157
