docking_tool,scoring_function,spearman_correlation,cost_per_pipeline,enrichment_factor,ranking_method
"['diffdock', 'flexx', 'smina']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4526816353906066,531.7,1.9943019943019944,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4526492565782836,522.7099999999999,2.243589743589744,Zscore
"['diffdock', 'smina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4526218340286725,529.5799999999999,1.4957264957264955,rank_by_rank
"['diffdock', 'gnina']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4526210314058944,531.17,2.243589743589744,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4526210314058944,532.38,2.243589743589744,Zscore
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4524885375874018,521.5,2.243589743589744,Zscore
"['diffdock', 'gnina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4522594660819237,535.4799999999999,1.4957264957264955,rank_by_rank
"['diffdock', 'smina']","['CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4522545784210616,567.77,2.243589743589744,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4520960729967944,538.81,1.9943019943019944,Zscore
"['diffdock', 'gnina', 'plants', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4520031357882487,642.1999999999999,2.243589743589744,Zscore
"['diffdock', 'gnina', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.451917708604292,640.99,2.243589743589744,Zscore
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'smina_affinity', 'vina_hydrophobic']",0.4519138709899695,524.6,2.492877492877493,rank_by_rank
"['diffdock', 'flexx', 'gnina']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4518552318225162,537.6,1.9943019943019944,Zscore
['diffdock'],"['CNNaffinity', 'RTMScore', 'rfscore_v2']",0.451851943694796,421.57,2.462837837837838,exponential_consensus_ranking
"['diffdock', 'flexx', 'gnina', 'plants']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4516640881495694,537.5500000000001,2.243589743589744,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4516067968189412,531.47,1.745014245014245,rank_by_rank
"['diffdock', 'flexx', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4514647597025485,535.42,1.9943019943019944,rank_by_rank
"['diffdock', 'flexx', 'plants', 'smina']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4514330931813448,531.65,2.243589743589744,rank_by_rank
"['diffdock', 'flexx', 'gnina', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4510997238290104,635.61,1.9943019943019944,Zscore
