ID,CNNscore
CHEMBL4068695_diffdock_7,0.0946836695
CHEMBL4068695_diffdock_8,0.0207618587
CHEMBL4068695_diffdock_9,0.0250183195
CHEMBL4068695_diffdock_10,0.0095213605
CHEMBL5088102_diffdock_1,0.2121429890
CHEMBL5088102_diffdock_2,0.1983287781
CHEMBL5088102_diffdock_3,0.1447373927
CHEMBL5088102_diffdock_4,0.1656760424
CHEMBL5088102_diffdock_5,0.0862153769
CHEMBL5088102_diffdock_6,0.1796263754
CHEMBL5088102_diffdock_7,0.1701477170
CHEMBL5088102_diffdock_8,0.1612306684
CHEMBL5088102_diffdock_9,0.0515337326
CHEMBL5088102_diffdock_10,0.0307011977
CHEMBL4293134_diffdock_1,0.0499810018
CHEMBL4293134_diffdock_2,0.3337923288
CHEMBL4293134_diffdock_3,0.4050836563
CHEMBL4293134_diffdock_4,0.2890783846
CHEMBL4293134_diffdock_5,0.1522112489
CHEMBL4293134_diffdock_6,0.3372555673
CHEMBL4293134_diffdock_7,0.0730666965
CHEMBL4293134_diffdock_8,0.1530129015
CHEMBL4293134_diffdock_9,0.1927492321
CHEMBL4293134_diffdock_10,0.1740381718
CHEMBL3623286_diffdock_1,0.0815562829
CHEMBL3623286_diffdock_2,0.0628277138
CHEMBL3623286_diffdock_3,0.0855650380
CHEMBL3623286_diffdock_4,0.0575753227
CHEMBL3623286_diffdock_5,0.0442764014
CHEMBL3623286_diffdock_6,0.0285187606
CHEMBL3623286_diffdock_7,0.0354657248
CHEMBL3623286_diffdock_8,0.0761814266
CHEMBL3623286_diffdock_9,0.0330361165
CHEMBL3623286_diffdock_10,0.0345235243
CHEMBL461869_diffdock_1,0.3126242161
CHEMBL461869_diffdock_2,0.4490660429
CHEMBL461869_diffdock_3,0.4646224380
CHEMBL461869_diffdock_4,0.4779032469
CHEMBL461869_diffdock_5,0.2711592019
CHEMBL461869_diffdock_6,0.3918403983
CHEMBL461869_diffdock_7,0.2884424925
CHEMBL461869_diffdock_8,0.4230214059
CHEMBL461869_diffdock_9,0.2184762657
CHEMBL461869_diffdock_10,0.4381939173
CHEMBL2031296_diffdock_1,0.1671602577
CHEMBL2031296_diffdock_2,0.1514701545
CHEMBL2031296_diffdock_3,0.1691614091
CHEMBL2031296_diffdock_4,0.1636439115
CHEMBL2031296_diffdock_5,0.1672077179
CHEMBL2031296_diffdock_6,0.1281947196
CHEMBL2031296_diffdock_7,0.0825633481
CHEMBL2031296_diffdock_8,0.0847888067
CHEMBL2031296_diffdock_9,0.0879805312
CHEMBL2031296_diffdock_10,0.0968818814
CHEMBL466174_diffdock_1,0.3947567344
CHEMBL466174_diffdock_2,0.3692967892
CHEMBL466174_diffdock_3,0.4016016722
